PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported
91,0,False,3407,1,23,False,311,427,526,37,0,295,False
92,0,False,4848,2,2,False,0,0,0,0,0,7695,True
93,2,True,6156,2,31,False,0,0,0,0,0,1261,True
94,0,False,3471,2,18,False,0,0,0,830,91,6653,False
95,0,False,3485,2,24,False,0,458,0,0,17,725,True
96,0,True,5331,0,9,False,0,0,0,0,0,6989,True
97,0,True,5331,2,6,False,0,0,0,0,0,2975,False
98,0,False,3442,2,27,False,0,0,570,2,131,1545,False
99,2,False,1182,2,21,False,1743,5,17,0,0,1901,False
100,0,True,5348,2,23,False,0,0,0,0,0,5871,False
101,0,False,5348,2,31,False,562,0,326,0,0,414,False
102,0,False,5348,2,0,False,0,0,0,0,0,6068,True
103,1,False,6156,2,32,False,0,410,6,3929,764,3526,False
104,1,False,528,2,40,False,0,331,0,0,1687,185,False
105,1,False,528,2,42,False,2209,11418,0,1868,445,119,True
106,1,True,528,2,28,False,0,0,0,0,0,4124,True
107,1,True,2121,2,29,False,0,0,0,0,0,191,True
108,1,False,151,0,48,True,0,2537,87,17,13,5743,True
109,0,False,3470,2,64,False,0,0,804,0,0,4015,True
110,0,False,5364,2,27,False,82,157,429,238,1,5406,False
111,2,False,3484,2,26,False,0,0,0,0,304,6675,True
112,1,False,1314,2,33,False,1,2223,0,12,404,280,True
113,0,False,0,2,39,False,0,2344,0,65,6898,960,False
114,1,True,0,2,13,False,0,0,0,0,0,4721,True
115,2,True,3500,2,24,False,0,0,0,0,304,1010,True
116,0,False,5377,2,29,False,0,0,0,699,74,7067,False
117,0,False,3523,2,18,False,55,597,49,0,1,4052,False
118,2,True,3524,2,67,False,0,0,0,0,0,5579,True
119,2,False,2141,2,35,False,701,0,296,0,25,5581,False
120,2,False,1304,2,61,True,2353,334,9,316,2,3561,False
121,2,False,2158,2,45,False,2103,6,0,0,0,942,False
122,0,True,5396,1,22,False,0,0,173,0,0,6420,True
123,2,True,3551,2,19,False,0,0,0,0,0,3071,True
124,2,False,1330,2,36,False,2738,0,0,0,0,2554,False
125,0,False,5315,2,19,False,0,14,730,0,0,1445,True
126,0,False,5410,1,47,False,97,418,126,25,55,414,False
127,0,True,5330,2,13,False,0,0,0,0,0,2996,True
128,0,False,1987,2,34,False,0,22,0,564,207,5690,False
129,1,True,979,0,35,False,0,0,0,0,0,1656,True
130,0,True,5347,2,24,False,0,0,0,0,0,2918,True
131,0,False,3550,2,26,False,440,0,0,0,462,8018,False
132,2,False,3566,2,31,False,224,0,97,0,0,6396,False
133,0,False,3579,2,20,False,0,420,210,0,0,3571,True
134,0,False,5432,2,56,False,0,0,0,0,0,8010,False
135,0,True,5448,2,50,False,0,0,0,0,0,6864,True
136,2,False,3578,2,42,False,1072,0,10,0,76,1945,False
137,0,True,5467,0,28,False,0,0,0,0,0,1169,True
138,0,True,5363,0,38,False,0,0,0,0,0,7033,False
139,0,False,3594,2,41,False,0,0,0,0,607,537,False
140,0,False,5395,2,22,False,4119,0,0,0,61,3470,False
141,1,True,567,2,26,False,0,0,0,0,0,4542,True
142,1,True,567,2,17,False,0,0,0,0,0,6933,True
143,0,False,5485,2,57,False,50,1688,0,311,135,2980,True
144,0,True,5485,1,17,False,0,0,0,0,0,3989,False
145,2,True,3657,2,35,False,0,0,0,0,0,3520,True
146,2,True,3632,2,13,False,0,0,0,0,0,5661,True
147,2,False,3632,2,27,False,1365,0,48,22,137,6640,False
148,0,True,5409,2,31,False,0,0,0,0,0,8122,False
149,0,False,1410,2,24,False,0,0,0,221,567,5683,False
150,0,True,5515,1,19,False,0,0,0,0,0,1910,True
151,0,True,5419,2,32,False,0,0,0,0,0,3696,True
152,0,False,1425,2,58,False,0,985,0,5,0,3885,True
153,0,False,3673,0,21,False,287,0,16,115,175,2415,False
154,1,False,308,2,38,False,0,10346,1,14970,2111,7804,False
155,2,False,1345,2,38,False,3414,0,161,28,119,8175,False
156,0,False,5447,2,19,False,1,219,673,2,11,2590,True
157,0,False,5447,2,0,False,0,0,0,0,0,6515,False
158,0,False,5447,2,3,False,0,0,0,0,0,6850,True
159,0,False,5466,2,20,False,0,0,3,299,92,5837,False
160,1,True,902,2,24,False,0,0,0,0,0,4773,True
161,0,False,3646,2,37,False,17,146,426,0,232,7249,True
162,0,False,5484,2,25,False,62,0,0,0,956,1437,False
163,0,True,5530,2,56,False,0,0,0,0,0,1321,True
164,0,False,2157,0,49,False,84,3,401,202,98,3816,False
165,0,True,5545,0,11,False,0,0,0,0,0,414,False
166,0,True,5498,2,1,False,0,0,0,0,0,7462,True
167,0,False,5498,2,8,False,0,0,0,0,0,6667,False
168,0,False,5498,2,39,False,0,0,10,898,0,4972,False
169,2,True,3707,2,2,False,0,0,0,0,0,7194,True
170,2,False,3707,2,23,False,224,0,8,1072,0,3133,False
171,2,False,3707,2,0,False,0,0,0,0,0,3419,True
172,2,False,3728,2,39,False,406,0,867,0,0,934,True
173,2,False,1329,1,25,False,1052,0,719,0,7,1476,False
174,1,False,961,2,36,False,0,972,0,795,575,828,False
175,0,False,5514,1,52,False,0,0,0,0,0,4288,True
176,0,True,5558,2,18,False,0,0,0,0,0,6550,False
177,0,True,5529,2,15,False,0,0,0,0,0,2648,True
178,1,True,462,2,35,False,0,0,0,0,0,4549,True
179,1,True,462,2,47,False,0,0,0,0,0,2524,True
180,1,True,583,0,45,False,0,0,0,0,0,6322,True
181,1,False,23,0,28,False,0,2433,173,878,443,7988,True
182,1,True,1006,2,51,False,0,0,0,0,0,517,True
183,0,False,5570,2,29,False,0,2,66,0,705,1533,False
184,1,False,1022,0,28,False,2,1720,12,1125,122,6013,True
185,0,True,5544,1,19,False,0,0,0,0,0,7704,False
186,0,True,1344,0,24,False,0,0,173,0,0,752,True
187,2,False,3762,2,29,False,902,1,137,0,0,6179,True
188,2,True,3762,2,11,False,0,0,0,0,0,1943,True
189,2,False,3762,2,17,False,848,0,307,182,0,6268,False
190,0,False,2169,2,13,False,192,0,0,51,739,4031,False
191,0,False,3775,2,35,False,147,188,0,10,387,7014,False
192,0,False,3789,2,21,False,367,281,0,0,146,1502,False
193,0,False,3697,0,21,False,0,56,0,0,1918,6958,False
194,0,False,3805,2,38,False,1517,0,0,27,0,6365,False
195,0,True,5600,2,19,False,0,0,0,0,0,5960,True
196,0,True,5615,2,2,False,0,0,0,0,0,7903,True
197,0,False,5615,2,0,False,0,0,0,0,0,8223,True
198,0,True,5615,2,13,False,0,0,0,0,0,1302,False
199,0,False,1409,2,25,False,122,84,173,0,0,2366,False
200,0,False,3818,2,16,False,0,3,0,0,1099,7995,False
201,0,False,5615,0,1,False,0,0,0,0,0,8229,False
202,0,True,5615,2,15,False,0,0,0,0,0,3606,True
203,2,False,1454,0,21,False,2237,0,119,0,0,1956,False
204,2,False,1454,2,23,False,1215,80,1,2,0,8385,False
205,2,False,1454,2,33,False,1933,12,188,1,0,4153,False
206,2,True,1454,2,21,False,0,0,0,0,0,2547,True
207,2,False,1454,2,41,False,1230,0,301,43,1023,6115,False
208,2,False,1454,2,16,False,915,0,221,234,0,3508,False
209,2,True,1454,2,42,False,0,0,0,0,0,6676,False
210,2,False,3708,2,20,False,1406,0,0,11,0,3431,False
211,2,True,3708,2,24,False,0,0,0,0,0,1882,True
212,2,True,1468,2,16,False,0,0,0,0,0,3500,True
213,0,False,5586,2,21,False,0,2,665,0,9,2923,False
214,2,False,3729,2,32,True,181,0,5,1634,0,1220,False
215,0,True,5630,1,58,False,0,0,0,0,0,1526,True
216,0,False,3746,2,24,False,4,7,0,713,79,2358,False
217,2,False,3763,2,30,False,85,0,1,1720,0,4770,False
218,0,True,5601,1,27,False,0,458,0,0,0,5958,False
219,2,False,3776,2,32,False,56,0,256,1438,0,7541,False
220,0,False,3845,2,43,False,224,888,0,0,0,4642,False
221,1,True,166,2,42,False,0,0,0,0,0,8188,True
222,2,False,6156,2,37,False,637,0,0,92,319,2298,False
223,2,True,3872,2,35,False,0,0,0,0,0,6389,True
224,1,False,1424,0,33,False,0,1249,0,4812,1116,132,False
225,0,False,3790,2,18,False,313,1,691,283,0,377,False
226,0,True,5616,2,21,False,0,0,0,0,0,4974,False
227,2,True,6156,2,43,False,0,0,0,0,0,3138,True
228,2,True,3806,0,14,False,0,0,0,0,0,7832,True
229,1,False,978,0,46,False,0,3571,0,0,7,3397,True
230,1,False,978,2,33,False,0,86,796,584,10912,520,False
231,2,False,1377,2,21,False,2947,0,287,27,0,5456,False
232,1,False,599,2,33,False,0,1,0,8620,1063,3260,False
233,0,True,5631,1,47,False,224,0,0,0,0,1440,False
234,0,True,613,0,54,False,0,0,0,0,0,2310,True
235,0,False,3888,2,30,False,335,695,541,0,0,4859,False
236,0,False,5686,2,29,False,272,615,0,0,1,2139,False
237,0,False,3903,2,21,False,702,172,408,2,6,6424,True
238,1,True,44,2,24,False,0,0,0,0,0,792,True
239,2,False,3832,0,21,False,1664,0,173,0,0,2876,False
240,2,True,3832,2,60,False,0,0,0,0,0,7207,True
241,0,False,3846,2,22,False,0,0,313,299,92,3038,False
242,1,False,1497,2,26,False,0,4810,0,981,2054,6967,False
243,0,False,3932,2,26,False,66,29,0,0,803,2382,False
244,0,True,5702,2,28,False,0,0,0,0,0,5247,True
245,1,True,1378,2,39,False,0,0,0,311,0,2894,True
246,0,False,3858,2,13,False,118,0,0,754,1,4979,False
247,0,False,3873,0,47,False,0,231,592,0,0,4914,True
248,0,False,3973,2,63,False,0,25,128,0,1240,1584,False
249,1,True,1392,0,28,False,0,0,0,0,0,7566,True
250,0,False,4003,0,50,False,44,2390,0,53,0,1405,True
251,0,False,6156,2,35,False,0,0,0,888,304,4503,False
252,0,False,5731,2,45,False,0,97,0,14,333,5320,False
253,0,False,4026,2,19,False,0,0,2078,0,0,2234,True
254,0,False,3904,2,21,False,0,918,0,0,0,7939,True
255,0,True,5748,1,29,False,0,0,0,0,0,4160,True
256,0,False,4040,2,22,False,146,654,1,0,2,6743,True
257,1,True,1496,2,14,False,0,0,0,0,0,4751,True
258,1,True,1496,0,42,False,0,0,0,0,0,3512,True
259,0,False,4055,0,57,False,3,1281,29,162,13,1500,False
260,1,True,6156,0,39,False,0,0,0,0,0,7616,True
261,1,False,184,2,28,False,0,587,32,6,1460,139,False
262,0,False,3917,0,19,False,0,0,0,0,828,3472,False
263,1,True,630,0,19,False,0,0,0,0,0,3166,True
264,1,False,556,0,26,False,0,4458,0,1157,262,7112,True
265,1,True,556,2,17,False,0,0,0,0,0,260,True
266,1,False,556,2,43,False,0,0,0,0,0,2253,True
267,1,False,556,0,9,False,0,0,0,0,0,834,True
268,1,False,1037,2,40,False,0,6500,88,1090,0,1569,True
269,1,True,568,2,50,False,0,0,0,311,0,6263,True
270,0,False,5763,2,24,False,90,2,1324,17,0,2857,True
271,1,True,43,0,57,False,0,0,0,0,0,797,True
272,0,True,6156,2,16,False,0,0,0,0,0,5314,False
273,0,False,4080,2,23,False,0,0,15,0,1370,4932,False
274,0,True,5674,2,23,False,0,0,0,0,0,6085,True
275,1,False,1526,2,28,False,0,422,0,1851,5166,1122,False
276,1,False,991,0,23,False,0,584,0,20,2469,7355,False
277,0,False,1542,2,23,False,368,175,259,1,101,2372,False
278,0,False,3974,2,18,False,0,0,1359,0,0,5873,True
279,0,False,3990,2,18,False,1194,0,157,6,0,1167,False
280,1,False,6156,2,67,False,224,230,0,4476,241,5890,False
281,0,False,4093,1,60,False,7,540,1,0,4,1379,True
282,0,True,5799,0,28,False,0,0,173,0,0,4424,True
283,0,False,4093,0,49,False,331,0,0,318,0,4172,True
284,0,False,5799,0,0,False,0,0,0,0,0,3741,True
285,0,False,5817,0,26,False,386,0,74,0,1330,4651,False
286,0,True,5687,1,35,False,0,0,0,0,0,81,True
287,1,False,584,2,24,False,0,2628,173,170,0,3663,True
288,1,True,584,2,20,False,0,0,0,0,304,1046,True
289,0,False,5717,2,18,False,0,2,0,311,0,1338,False
290,0,False,5717,2,21,False,0,5,3,0,304,3203,False
291,0,False,4004,2,59,True,1018,0,209,0,0,6416,False
292,0,True,5732,1,13,False,0,0,0,0,0,626,False
293,0,True,5847,0,43,False,0,0,0,0,0,1532,False
294,0,True,5764,2,29,False,0,0,0,0,0,1666,False
295,0,False,6156,2,19,False,17,0,784,0,2,4213,True
296,1,False,655,2,2,False,0,0,0,0,0,1025,True
297,1,False,655,2,32,False,247,4651,0,46,202,414,True
298,1,False,655,2,33,False,443,317,0,148,1260,3795,False
299,0,False,4152,2,25,False,0,0,251,0,552,4950,False
300,2,True,4164,0,29,False,0,0,0,0,0,6260,True
301,2,False,4014,2,29,False,5715,2,211,1476,0,7930,False
302,0,False,4177,2,44,False,695,1,16,0,0,5408,False
303,2,True,4027,0,2,False,0,0,0,0,0,3579,True
304,2,False,4027,2,19,False,417,349,634,3,1057,8246,True
305,2,False,4027,0,0,False,0,0,0,0,0,414,True
306,0,True,5781,2,18,False,0,0,173,0,0,4062,True
307,1,True,152,0,38,False,0,0,0,0,0,6206,True
308,0,True,5912,1,5,False,0,0,0,0,0,5101,False
309,0,False,4207,1,31,False,121,0,0,274,907,5509,False
310,2,True,1571,2,30,False,0,0,0,0,0,1092,False
311,0,True,5941,0,15,False,0,0,0,0,0,5206,True
312,2,False,4041,2,27,False,434,0,1434,0,0,1952,False
313,2,False,1066,2,22,False,142,2876,202,3,0,7333,True
314,2,False,6156,2,36,False,520,0,1865,0,0,8179,True
315,0,True,5956,1,14,False,0,0,0,0,0,5080,True
316,2,False,4236,2,23,False,2001,0,2975,0,0,3906,False
317,0,True,6156,2,18,False,0,0,0,0,0,7860,True
318,1,True,231,0,36,False,0,0,0,0,0,6225,True
319,0,False,4056,2,41,False,224,1198,0,124,572,2542,False
320,0,True,5800,2,50,False,0,0,0,0,0,6694,True
321,0,True,5800,1,32,False,0,0,0,0,0,2086,True
322,0,False,4066,1,26,False,148,0,453,0,88,1603,False
323,0,False,4081,2,15,False,358,212,33,0,112,2577,False
324,0,False,4094,0,33,False,0,36,0,280,417,8054,True
325,0,False,5818,0,28,False,0,0,0,685,21,2073,False
326,2,False,4298,2,26,False,2832,107,4447,15,4,6583,False
327,2,True,4298,2,61,False,0,0,0,0,0,968,True
328,0,False,5848,2,24,False,0,0,592,177,58,8021,True
329,0,False,4308,2,30,False,0,95,0,441,1023,7739,False
330,2,True,4322,2,24,False,0,0,0,0,0,1752,True
331,0,False,4335,2,24,False,0,5,0,2766,0,414,False
332,0,True,5987,2,41,False,0,0,0,0,0,1156,False
333,0,False,1585,2,20,False,0,0,558,0,230,5168,False
334,0,False,5866,2,22,False,116,0,786,6,0,3102,True
335,1,False,674,0,63,False,0,1068,0,176,8188,8264,False
336,1,False,167,0,18,False,17,215,4,5132,697,1298,False
337,1,True,167,0,21,False,0,0,0,0,0,5301,True
338,1,False,167,2,79,False,5649,235,7,2579,2175,5870,False
339,1,True,167,2,56,False,0,0,0,0,0,5777,True
340,1,True,167,2,13,False,0,0,0,0,0,6311,True
341,1,False,167,2,33,False,0,2491,6,1173,1059,7154,False
342,1,True,167,2,32,False,0,0,0,0,0,23,True
343,0,False,5999,2,31,False,198,0,591,0,164,1385,True
344,1,True,6156,0,26,False,0,0,0,0,0,8462,True
345,1,True,246,0,18,False,0,0,0,0,0,5539,True
346,1,True,246,0,38,False,0,0,173,0,0,817,True
347,0,False,6014,2,23,False,348,0,0,4,368,1201,False
348,0,False,5883,2,28,False,82,773,0,3693,140,6242,False
349,0,True,5883,1,34,False,0,0,0,0,0,2929,False
350,0,False,5898,0,0,False,0,0,0,0,0,1845,True
351,0,False,5898,2,14,False,3,0,881,25,0,2697,True
352,0,False,6032,2,23,False,13,747,0,0,128,7471,False
353,0,True,6049,2,49,False,0,0,0,0,0,8000,False
354,0,True,5913,2,14,False,0,0,0,0,0,2973,False
355,0,False,1595,2,18,False,391,44,356,0,0,2586,False
356,1,False,1021,1,27,True,69,5728,0,0,987,2052,True
357,0,False,1609,2,48,False,0,111,0,1508,0,8127,False
358,1,False,262,0,31,True,0,11003,552,8157,5688,5524,False
359,1,False,262,0,61,False,1,608,0,3835,1,3647,False
360,0,True,5942,2,18,False,0,0,0,0,0,1383,True
361,2,True,4105,2,45,False,0,0,0,0,0,3534,True
362,2,False,1084,2,22,False,28,420,36,6011,3,8088,False
363,2,False,1096,2,30,True,1056,0,0,0,0,5150,False
364,2,False,1096,2,30,False,1770,0,0,13,0,6127,False
365,0,True,1114,0,32,True,0,0,0,0,0,7582,True
366,2,False,1083,2,43,True,353,896,0,0,2,6394,True
367,0,False,4393,0,17,False,177,458,0,310,7,2206,False
368,0,False,6094,2,23,False,224,21,0,0,1699,2088,False
369,0,False,4407,2,20,False,0,465,0,5,223,5167,False
370,0,True,6094,2,39,False,0,0,0,0,0,2224,False
371,2,False,1625,2,35,False,1134,113,52,0,0,2045,False
372,2,False,4136,2,31,False,0,0,1116,2,0,5402,False
373,0,False,4153,0,21,False,0,150,0,567,0,7914,False
374,0,False,4422,2,16,False,691,0,101,140,0,1070,False
375,1,False,612,2,60,False,0,7255,5952,1537,0,977,True
376,0,False,4439,2,18,False,0,157,0,352,60,2674,False
377,0,True,5957,2,42,False,0,0,0,0,0,4040,False
378,1,True,277,0,68,False,0,0,0,0,0,4923,True
379,1,False,277,0,22,False,0,1170,0,5467,1241,5642,False
380,1,True,277,2,59,False,0,0,0,0,0,2778,True
381,1,False,293,2,28,False,8,3584,0,13,57,7413,True
382,2,False,4498,2,37,False,1094,2,26,34,1,1217,False
383,2,True,4498,2,3,False,0,0,0,0,0,1961,True
384,2,True,4498,2,31,False,0,0,0,0,0,6545,True
385,1,False,1639,2,31,False,417,458,7185,562,792,259,True
386,1,False,692,2,29,False,0,4118,0,715,3139,1662,True
387,1,False,70,0,20,False,2,10116,0,2,225,95,True
388,1,True,70,0,46,False,0,0,0,0,0,7520,True
389,0,False,4194,2,29,False,0,1026,0,16,0,2650,True
390,2,True,4513,2,43,False,0,0,0,0,0,3132,True
391,2,False,4208,2,17,False,1483,10,0,0,0,1478,False
392,1,False,309,0,27,False,0,0,0,0,0,3788,True
393,1,False,309,2,47,False,4,891,0,2962,3656,5858,False
394,2,True,4223,2,45,False,0,0,0,0,0,6727,True
395,0,True,5988,2,17,False,0,0,0,0,0,339,True
396,0,False,6000,0,10,False,0,0,0,0,0,6848,True
397,0,False,6000,1,56,False,46,11,0,622,0,4975,False
398,0,False,4237,2,39,False,382,0,22,467,0,5200,False
399,0,False,4237,1,40,False,7,0,840,26,0,2174,False
400,1,True,199,2,40,False,224,0,0,0,0,2486,True
401,1,False,644,0,34,False,224,5637,45,1936,56,4123,False
402,0,False,4252,0,32,False,0,0,0,722,0,5068,False
403,0,False,4524,2,35,False,7,1043,0,0,0,2652,False
404,2,False,1113,2,32,True,2484,429,102,0,0,1449,False
405,0,False,4540,2,26,True,1869,0,136,0,0,1866,False
406,0,False,4270,2,25,False,1352,0,0,24,799,5089,False
407,0,False,1626,2,26,False,0,0,0,77,715,6609,False
408,1,True,326,0,22,False,0,0,0,0,0,3631,True
409,0,False,4281,2,22,False,9,0,795,0,0,3027,True
410,0,False,1656,2,24,False,757,0,0,32,0,2607,False
411,0,True,6122,1,32,False,0,0,0,0,0,414,True
412,0,True,6015,2,11,False,0,0,0,0,0,5884,True
413,2,True,1640,2,22,False,0,0,0,0,0,7399,True
414,1,True,214,2,19,False,0,0,0,0,0,209,True
415,1,True,6156,0,34,False,0,0,0,0,0,5618,True
416,1,True,214,2,74,False,0,0,0,0,0,8258,True
417,1,False,232,0,28,True,5,4288,0,745,5,7439,True
418,1,True,232,2,42,False,0,0,0,0,0,2893,True
419,1,True,232,2,43,False,0,0,0,0,0,3669,True
420,0,False,4309,2,55,False,210,185,188,59,73,5142,False
421,0,False,6134,1,19,False,0,0,747,26,0,4894,True
422,0,True,6134,2,6,False,0,0,0,0,0,6849,False
423,0,False,6134,2,7,False,0,0,0,0,0,4406,False
424,1,True,1125,0,28,False,0,0,0,0,0,8413,True
425,0,False,4323,2,15,False,2156,0,0,59,2,3718,False
426,0,True,6033,1,24,False,0,0,0,0,0,7056,True
427,0,False,1657,1,31,False,0,869,0,0,0,7035,True
428,0,False,4336,2,22,False,0,70,182,612,20,8141,True
429,0,False,6050,0,1,False,0,0,0,0,0,4869,True
430,0,True,6066,2,50,False,0,0,0,0,0,6691,False
431,2,False,2189,2,34,False,865,0,257,311,35,3518,False
432,2,False,2189,2,14,False,928,852,81,0,0,3052,False
433,0,False,1669,2,19,False,4,10,0,1178,428,2148,False
434,0,False,1669,2,28,False,0,654,22,146,4,4789,True
435,0,False,2209,2,36,False,0,0,863,1,1,860,False
436,0,True,6156,2,34,False,0,0,0,0,0,3748,False
437,2,True,4353,0,25,False,0,0,0,0,304,686,True
438,0,True,4353,2,36,False,0,0,0,0,0,4531,True
439,1,False,341,2,16,False,0,45,2,5183,170,810,False
440,1,False,341,0,30,False,0,7972,0,0,4,4120,True
441,0,False,4367,1,37,False,0,10,544,9,299,7280,False
442,0,True,6095,0,15,False,0,0,0,0,0,5966,True
443,0,False,1682,2,36,False,0,0,38,9,943,2091,False
444,2,False,2235,1,27,False,224,6,145,144,0,1953,False
445,2,True,2235,2,27,False,0,0,0,0,0,1257,True
446,2,True,2235,2,12,False,0,0,0,0,0,983,True
447,0,False,1698,2,22,False,0,5,0,1619,0,1068,False
448,0,False,6165,2,27,False,224,34,23,0,275,1758,False
449,0,True,6109,2,13,False,0,0,0,0,0,3288,True
450,0,False,1670,2,27,False,0,118,0,5,665,624,False
451,0,False,4381,2,28,False,0,14,0,0,615,4087,False
452,1,False,263,0,21,False,0,33,0,3348,55,3158,False
453,1,False,734,2,39,False,172,1794,12,4303,246,6801,False
454,0,True,6195,1,28,False,0,0,173,0,0,1721,False
455,0,True,6123,2,14,False,0,0,0,0,0,3701,True
456,1,True,6156,0,27,False,0,458,0,0,0,974,True
457,1,True,278,0,46,False,0,0,0,311,0,4600,True
458,2,True,4394,0,27,False,0,0,0,0,0,2519,True
459,2,False,1683,2,21,False,0,0,0,0,0,8384,False
